구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2013년04월22일,1815.97,1725.91,1711.61,1728.26,1707.60,1739.31,1719.05,1735.44,1751.80,1737.36,1751.92,1728.55,1731.27,1723.86,1729.77,1709.53,1750.70
2013년04월23일,1807.85,1721.47,1706.75,1721.97,1704.02,1732.79,1712.60,1730.03,1748.76,1733.78,1748.37,1724.81,1728.45,1720.62,1726.02,1708.86,1749.96
2013년04월24일,1802.58,1717.19,1702.74,1718.11,1700.90,1730.60,1709.72,1725.10,1744.58,1730.46,1744.56,1722.00,1724.92,1717.17,1724.22,1708.80,1748.66
2013년04월25일,1797.38,1711.96,1698.61,1714.38,1697.57,1725.87,1706.31,1721.02,1740.51,1726.68,1741.34,1717.89,1721.10,1714.26,1720.76,1709.16,1742.98
2013년04월26일,1794.45,1709.67,1695.13,1710.70,1694.71,1722.61,1703.59,1717.87,1738.01,1724.24,1738.51,1715.03,1717.80,1711.17,1718.10,1708.43,1742.24
2013년04월27일,1792.17,1707.68,1692.22,1708.60,1692.39,1720.91,1702.42,1715.57,1734.38,1721.61,1736.23,1712.19,1715.40,1708.27,1715.64,1709.43,1738.55
2013년04월28일,1791.30,1706.90,1691.00,1707.70,1691.60,1720.81,1699.63,1713.97,1732.53,1720.98,1735.15,1711.04,1713.93,1707.21,1714.18,1708.65,1736.33
2013년04월29일,1790.61,1705.81,1689.76,1708.09,1690.15,1719.98,1699.39,1713.49,1730.94,1719.82,1733.92,1709.70,1712.40,1704.84,1712.86,1708.75,1735.94
2013년04월30일,1789.53,1705.12,1688.44,1704.93,1687.93,1718.00,1696.86,1711.11,1729.53,1717.68,1732.24,1708.14,1709.88,1702.54,1711.09,1708.75,1733.72
2013년05월01일,1788.24,1700.74,1686.20,1703.23,1686.03,1715.55,1693.35,1708.48,1725.90,1713.31,1728.12,1704.17,1706.32,1699.22,1707.08,1709.34,1731.22
2013년05월02일,1785.84,1700.43,1684.93,1700.86,1684.21,1714.97,1692.31,1707.60,1723.38,1710.85,1726.71,1701.94,1704.56,1696.72,1704.99,1710.27,1729.70
2013년05월03일,1784.73,1697.78,1683.17,1699.13,1681.65,1713.33,1689.07,1705.19,1721.46,1707.95,1724.51,1699.57,1703.28,1694.45,1702.58,1741.85,1727.16
2013년05월04일,1783.62,1696.45,1680.59,1697.06,1680.19,1712.37,1686.45,1703.80,1719.41,1705.38,1723.33,1699.17,1701.08,1693.33,1700.63,1744.03,1723.55
2013년05월05일,1782.89,1694.90,1679.30,1695.12,1678.70,1711.90,1685.89,1702.75,1718.42,1704.21,1722.19,1697.77,1700.82,1691.70,1698.92,1743.45,1722.62
2013년05월06일,1782.32,1695.14,1678.52,1694.85,1678.53,1711.93,1685.13,1702.66,1717.13,1702.60,1721.41,1697.11,1699.84,1691.35,1697.77,1743.77,1722.07
2013년05월07일,1781.14,1693.31,1677.04,1693.36,1678.55,1710.19,1682.29,1701.18,1715.77,1701.24,1719.82,1695.62,1697.81,1689.30,1695.66,1744.18,1719.00
2013년05월08일,1780.94,1692.21,1675.56,1691.91,1676.17,1709.97,1681.62,1699.69,1714.76,1699.56,1718.57,1694.07,1697.09,1687.69,1693.60,1744.05,1719.53
2013년05월09일,1778.89,1691.05,1674.77,1690.65,1675.11,1708.53,1678.94,1698.69,1713.03,1698.96,1717.49,1692.24,1696.00,1687.23,1692.18,1744.15,1715.83
2013년05월10일,1778.76,1690.25,1673.65,1690.14,1674.35,1707.16,1678.96,1697.43,1712.51,1698.14,1716.91,1691.47,1694.83,1686.33,1690.98,1747.55,1715.48
2013년05월11일,1778.51,1689.40,1672.46,1688.44,1673.74,1706.64,1677.28,1696.87,1711.44,1697.44,1715.85,1690.56,1694.07,1685.14,1689.78,1747.73,1713.72
