구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2016년03월21일,490.00,626.00,532.50,561.16,544.12,585.25,700.25,583.02,519.87,563.44,539.90,539.86,513.49,494.57,545.37,567.44,591.28
2016년03월22일,490.00,632.00,532.50,562.83,544.12,585.25,700.25,583.70,521.33,563.96,540.04,542.04,513.72,497.39,546.18,568.88,591.28
2016년03월23일,490.00,632.00,539.00,562.83,544.12,585.25,696.50,586.90,524.50,566.00,540.52,543.98,516.30,496.62,547.00,575.11,591.28
2016년03월24일,490.00,632.00,539.00,566.16,544.12,596.75,696.50,585.42,527.00,564.25,544.17,545.96,517.88,497.32,549.96,572.08,589.83
2016년03월25일,490.00,632.00,529.00,569.16,544.12,596.75,698.08,586.86,526.08,570.12,545.86,547.20,518.82,501.31,548.12,579.25,581.50
2016년03월26일,490.00,632.00,539.00,569.16,547.87,596.75,698.08,588.64,530.51,568.06,545.39,550.03,519.35,504.27,548.81,578.83,589.83
2016년03월27일,490.00,632.00,539.00,568.33,547.87,601.25,702.25,584.17,530.76,569.79,553.82,551.90,519.65,504.31,551.03,579.00,589.83
2016년03월28일,490.00,632.00,539.00,568.33,547.87,601.25,693.36,584.33,532.28,569.03,554.31,552.53,519.66,504.95,550.38,579.00,589.83
2016년03월29일,490.00,632.00,539.00,569.00,541.62,601.25,710.58,585.66,530.28,570.22,555.72,552.71,520.51,506.95,549.31,579.40,589.83
2016년03월30일,490.00,632.00,543.50,569.00,547.87,601.25,710.58,586.34,534.28,575.05,557.90,554.69,520.94,508.12,549.80,580.70,596.50
2016년03월31일,490.00,632.00,543.50,581.85,547.87,601.25,708.91,585.66,534.53,574.96,553.46,554.56,521.61,509.23,546.58,581.18,596.50
2016년04월01일,490.00,632.00,543.50,581.57,547.87,601.25,705.58,586.36,536.39,575.70,556.32,555.87,520.94,509.80,550.65,570.25,596.50
2016년04월02일,480.00,632.00,543.50,589.57,552.25,601.25,705.58,587.58,537.23,572.85,557.81,557.58,524.51,515.39,552.51,581.86,606.00
2016년04월03일,480.00,632.00,543.50,589.57,552.25,621.25,705.58,587.33,537.84,572.85,558.98,558.31,524.63,513.03,552.43,581.86,606.00
2016년04월04일,480.00,632.00,543.50,589.57,552.25,621.25,705.58,587.01,537.68,572.40,556.15,558.62,524.70,511.20,552.87,581.86,606.00
2016년04월05일,480.00,626.66,543.50,589.57,552.25,621.25,705.58,587.36,536.17,576.65,556.85,558.09,525.51,511.44,558.27,581.92,606.00
2016년04월06일,480.00,626.66,546.20,589.57,552.25,601.25,705.58,588.09,538.68,577.21,554.72,558.64,526.37,512.76,557.47,581.76,606.00
2016년04월07일,480.00,626.66,546.20,586.28,552.25,601.25,705.58,588.92,539.65,578.86,557.28,558.72,527.25,511.36,558.25,581.34,606.00
2016년04월08일,480.00,626.66,547.50,583.71,552.25,601.25,705.58,590.21,540.22,582.35,553.39,559.79,528.86,513.13,556.49,581.34,607.80
2016년04월09일,480.00,626.66,540.50,582.42,549.77,601.25,705.58,588.26,541.34,579.70,551.92,559.28,530.24,511.76,557.77,579.87,607.80
2016년04월10일,480.00,626.66,540.50,581.14,551.77,601.25,705.58,584.85,540.42,582.53,555.14,560.48,530.05,512.89,558.21,579.87,606.50
