,날짜,지역,일반유가
0,2013-02-08,대전,1746.9
0,2013-02-08,울산,1753.24
0,2013-02-08,경기,1752.26
0,2013-02-08,강원,1755.87
0,2013-02-08,충북,1745.15
0,2013-02-08,충남,1753.35
0,2013-02-08,전북,1735.09
0,2013-02-08,전남,1737.11
0,2013-02-08,경북,1737.14
0,2013-02-08,경남,1738.55
0,2013-02-08,제주,1807.98
0,2013-02-08,세종,1742.38
0,2013-02-09,서울,1846.8
0,2013-02-09,부산,1752.0
0,2013-02-09,대구,1739.85
0,2013-02-09,인천,1747.41
0,2013-02-09,광주,1736.16
0,2013-02-09,대전,1750.72
0,2013-02-09,울산,1754.08
0,2013-02-09,경기,1755.81
0,2013-02-09,강원,1757.39
0,2013-02-09,충북,1746.82
0,2013-02-09,충남,1755.36
0,2013-02-09,전북,1737.32
0,2013-02-09,전남,1738.95
0,2013-02-09,경북,1739.07
0,2013-02-09,경남,1740.87
0,2013-02-09,제주,1809.12
0,2013-02-09,세종,1747.29
0,2013-02-10,서울,1848.48
0,2013-02-10,부산,1753.37
0,2013-02-10,대구,1740.42
0,2013-02-10,인천,1748.24
0,2013-02-10,광주,1736.44
0,2013-02-10,대전,1751.94
0,2013-02-10,울산,1754.16
0,2013-02-10,경기,1757.05
0,2013-02-10,강원,1758.48
0,2013-02-10,충북,1747.67
0,2013-02-10,충남,1756.05
0,2013-02-10,전북,1737.85
0,2013-02-10,전남,1739.49
0,2013-02-10,경북,1739.68
0,2013-02-10,경남,1741.04
0,2013-02-10,제주,1809.48
0,2013-02-10,세종,1749.11
0,2013-02-11,서울,1848.99
0,2013-02-11,부산,1754.02
0,2013-02-11,대구,1741.84
0,2013-02-11,인천,1749.71
0,2013-02-11,광주,1737.76
0,2013-02-11,대전,1752.77
0,2013-02-11,울산,1754.44
0,2013-02-11,경기,1757.82
0,2013-02-11,강원,1759.25
0,2013-02-11,충북,1748.48
0,2013-02-11,충남,1756.35
0,2013-02-11,전북,1738.61
0,2013-02-11,전남,1739.9
0,2013-02-11,경북,1740.35
0,2013-02-11,경남,1741.53
0,2013-02-11,제주,1809.51
0,2013-02-11,세종,1748.0
0,2013-02-12,서울,1853.91
0,2013-02-12,부산,1756.15
0,2013-02-12,대구,1742.79
0,2013-02-12,인천,1755.41
0,2013-02-12,광주,1739.22
0,2013-02-12,대전,1754.45
0,2013-02-12,울산,1756.81
0,2013-02-12,경기,1760.9
0,2013-02-12,강원,1761.24
0,2013-02-12,충북,1749.64
0,2013-02-12,충남,1757.94
0,2013-02-12,전북,1739.69
0,2013-02-12,전남,1740.02
0,2013-02-12,경북,1741.8
0,2013-02-12,경남,1742.96
0,2013-02-12,제주,1810.12
0,2013-02-12,세종,1746.89
0,2013-02-13,서울,1857.36
0,2013-02-13,부산,1757.89
0,2013-02-13,대구,1745.26
0,2013-02-13,인천,1760.21
0,2013-02-13,광주,1740.35
0,2013-02-13,대전,1757.56
0,2013-02-13,울산,1759.05
0,2013-02-13,경기,1763.99
0,2013-02-13,강원,1763.59
0,2013-02-13,충북,1752.56
0,2013-02-13,충남,1760.4
0,2013-02-13,전북,1741.59
0,2013-02-13,전남,1741.62
0,2013-02-13,경북,1743.31
0,2013-02-13,경남,1745.94
0,2013-02-13,제주,1810.99
0,2013-02-13,세종,1752.43
0,2013-02-14,서울,1861.66
0,2013-02-14,부산,1761.86
0,2013-02-14,대구,1748.29
0,2013-02-14,인천,1764.14
0,2013-02-14,광주,1742.14
0,2013-02-14,대전,1760.32
0,2013-02-14,울산,1760.06
0,2013-02-14,경기,1768.01
0,2013-02-14,강원,1766.12
0,2013-02-14,충북,1755.91
0,2013-02-14,충남,1761.91
0,2013-02-14,전북,1743.22
0,2013-02-14,전남,1744.81
0,2013-02-14,경북,1745.79
0,2013-02-14,경남,1748.62
0,2013-02-14,제주,1810.91
0,2013-02-14,세종,1753.12
0,2013-02-15,서울,1866.61
0,2013-02-15,부산,1766.24
0,2013-02-15,대구,1752.34
0,2013-02-15,인천,1768.16
0,2013-02-15,광주,1743.68
0,2013-02-15,대전,1765.83
0,2013-02-15,울산,1761.64
0,2013-02-15,경기,1772.59
0,2013-02-15,강원,1769.25
0,2013-02-15,충북,1759.06
0,2013-02-15,충남,1764.71
0,2013-02-15,전북,1746.6
0,2013-02-15,전남,1747.03
0,2013-02-15,경북,1748.84
0,2013-02-15,경남,1752.07
0,2013-02-15,제주,1836.8
0,2013-02-15,세종,1755.87
0,2013-02-16,서울,1871.94
0,2013-02-16,부산,1770.06
0,2013-02-16,대구,1755.79
0,2013-02-16,인천,1773.02
0,2013-02-16,광주,1745.72
0,2013-02-16,대전,1770.76
0,2013-02-16,울산,1768.53
0,2013-02-16,경기,1776.42
0,2013-02-16,강원,1771.26
0,2013-02-16,충북,1762.19
0,2013-02-16,충남,1767.97
0,2013-02-16,전북,1749.71
0,2013-02-16,전남,1750.71
0,2013-02-16,경북,1752.35
0,2013-02-16,경남,1755.99
0,2013-02-16,제주,1837.91
0,2013-02-16,세종,1760.35
0,2013-02-17,서울,1872.62
0,2013-02-17,부산,1771.38
0,2013-02-17,대구,1757.75
0,2013-02-17,인천,1773.92
0,2013-02-17,광주,1746.49
0,2013-02-17,대전,1771.94
0,2013-02-17,울산,1773.61
0,2013-02-17,경기,1777.8
0,2013-02-17,강원,1772.41
0,2013-02-17,충북,1763.51
0,2013-02-17,충남,1769.39
0,2013-02-17,전북,1751.31
0,2013-02-17,전남,1751.71
0,2013-02-17,경북,1753.78
0,2013-02-17,경남,1757.31
0,2013-02-17,제주,1838.06
0,2013-02-17,세종,1759.75
0,2013-02-18,서울,1874.26
0,2013-02-18,부산,1773.23
0,2013-02-18,대구,1760.3
